goos: linux
goarch: amd64
pkg: github.com/diegommm/runes
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
                                                                                                          │ results-bytes-strings-vs-is-strategy.txt │
                                                                                                          │                  sec/op                  │
IsInSetFunc/[len=4_min=0_span=557055_runtime]_Half_Unicode_span,_few_items/stdlib/strings.ContainsRune-8                                628.1µ ±  7%
IsInSetFunc/[len=4_min=0_span=557055_runtime]_Half_Unicode_span,_few_items/isStrategy-8                                                 2.781µ ±  2%
IsInSetFunc/[len=13000_min=557055_span=12999_runtime]_a_lot/stdlib/bytes.ContainsAny-8                                                  7.409m ±  2%
IsInSetFunc/[len=13000_min=557055_span=12999_runtime]_a_lot/stdlib/strings.ContainsAny-8                                                2.557m ±  3%
IsInSetFunc/[len=13000_min=557055_span=12999_runtime]_a_lot/stdlib/bytes.ContainsRune-8                                                 704.5µ ±  5%
IsInSetFunc/[len=13000_min=557055_span=12999_runtime]_a_lot/stdlib/strings.ContainsRune-8                                               608.6µ ±  5%
IsInSetFunc/[len=13000_min=557055_span=12999_runtime]_a_lot/isStrategy-8                                                                2.166µ ±  3%
IsInSetFunc/[len=1111666_min=0_span=1114110_runtime]_everything/stdlib/bytes.ContainsAny-8                                              677.4m ±  4%
IsInSetFunc/[len=1111666_min=0_span=1114110_runtime]_everything/stdlib/strings.ContainsAny-8                                            341.9m ± 10%
IsInSetFunc/[len=1111666_min=0_span=1114110_runtime]_everything/stdlib/bytes.ContainsRune-8                                             620.9µ ±  2%
IsInSetFunc/[len=1111666_min=0_span=1114110_runtime]_everything/stdlib/strings.ContainsRune-8                                           613.6µ ±  1%
IsInSetFunc/[len=1111666_min=0_span=1114110_runtime]_everything/isStrategy-8                                                            2.942µ ±  3%
geomean                                                                                                                                 59.41µ

                                                                                                          │ results-bytes-strings-vs-is-strategy.txt │
                                                                                                          │                   B/op                   │
IsInSetFunc/[len=0_min=0_span=0_runtime]_zero/stdlib/bytes.ContainsRune-8                                                               0.000 ± 0%
IsInSetFunc/[len=0_min=0_span=0_runtime]_zero/stdlib/strings.ContainsRune-8                                                             0.000 ± 0%
IsInSetFunc/[len=0_min=0_span=0_runtime]_zero/isStrategy-8                                                                              0.000 ± 0%
IsInSetFunc/[len=1_min=65_span=0_runtime]_ASCII/stdlib/bytes.ContainsRune-8                                                             0.000 ± 0%
IsInSetFunc/[len=1_min=65_span=0_runtime]_ASCII/stdlib/strings.ContainsRune-8                                                           0.000 ± 0%
IsInSetFunc/[len=1_min=65_span=0_runtime]_ASCII/isStrategy-8                                                                            0.000 ± 0%
IsInSetFunc/[len=1_min=209_span=0_runtime]_Non-ASCII/stdlib/bytes.ContainsRune-8                                                        0.000 ± 0%
